"","x"
"(Intercept)",1.04808649112167
"hour",-0.00149960718702058
"month",-0.00674368974191009
"Day.of.Week",0.176392538439497
"weekday",0.121855851535664
"PeakHour",0.308250693174123
"TemperatureF",-0.00665012377485122
"Dew_PointF",0.0091544933590591
"Humidity",-0.00480274623192559
"Sea_Level_PressureIn",0.0393246999285002
"VisibilityMPH",-0.00621676961399715
